Keyword,SERP Position,Search Volume, Keyword Difficulty 
define digital product,6,90, 0.43 
product framework,6,110, 0.34 
product market matrix,7,880, 0.38 
complexity matrix,5,90, 0.24 
frameworks for product managers,6,30, 0.20 
product frameworks,4,110, 0.30 
product management frameworks,5,320, 0.25 
product manager frameworks,5,70, 0.18 
product market matrix example,6,110, 0.29 
fractional cpo,6,210, 0.12 
market matrix,6,70, 0.43 
whats a digital product,7,140, 0.50 
product management framework,6,210, 0.26 
product manager big tech,6,40, 0.16 
what is a digital product,6,1600, 0.52 
framework for product managers,6,260, 0.24 
game framework,5,170, 0.39 
product customer matrix example,5,170, 0.19 
product development framework,6,90, 0.22 
product development frameworks,5,50, 0.21 
product management tutorial,4,30, 0.30 
5c framework,5,70, 0.38 
digital products,4,8100, 0.56 
agile methodology in product development,6,140, 0.40 
what is digital product,5,720, 0.53 
product management software,4,1000, 0.39 
ansoff product market growth matrix,5,880, 0.52 
product management tools,7,1000, 0.43 
product market growth matrix examples,6,110, 0.38 